0.086	-0.05191	-1.20525	-13.88403	0.02625	0.60803	6.90784	0.01406	0.32675	3.78671	0.00697	0.16227	1.90428	0.00359	0.08386	0.99424	
0.087	-0.05312	-1.21913	-13.87635	0.02686	0.61493	6.89829	0.01439	0.33054	3.78595	0.00713	0.16417	1.90531	0.00368	0.08485	0.99537	
0.088	-0.05434	-1.23300	-13.86840	0.02747	0.62182	6.88842	0.01472	0.33432	3.78517	0.00729	0.16608	1.90637	0.00376	0.08585	0.99654	
0.089	-0.05558	-1.24687	-13.86018	0.02810	0.62871	6.87820	0.01506	0.33811	3.78437	0.00746	0.16798	1.90747	0.00385	0.08684	0.99774	
0.090	-0.05684	-1.26072	-13.85168	0.02873	0.63558	6.86764	0.01540	0.34189	3.78353	0.00763	0.16989	1.90861	0.00394	0.08784	0.99899	
0.091	-0.05811	-1.27457	-13.84290	0.02937	0.64244	6.85673	0.01574	0.34568	3.78267	0.00780	0.17180	1.90978	0.00403	0.08884	1.00028	
0.092	-0.05939	-1.28841	-13.83383	0.03002	0.64929	6.84547	0.01609	0.34946	3.78178	0.00797	0.17371	1.91099	0.00411	0.08984	1.00162	
0.093	-0.06068	-1.30224	-13.82447	0.03067	0.65613	6.83383	0.01644	0.35324	3.78085	0.00815	0.17562	1.91225	0.00421	0.09084	1.00299	
0.094	-0.06199	-1.31606	-13.81480	0.03133	0.66296	6.82182	0.01679	0.35702	3.77990	0.00833	0.17754	1.91354	0.00430	0.09185	1.00442	
0.095	-0.06331	-1.32987	-13.80482	0.03200	0.66978	6.80943	0.01715	0.36080	3.77892	0.00850	0.17945	1.91487	0.00439	0.09285	1.00588	
0.096	-0.06465	-1.34367	-13.79454	0.03267	0.67658	6.79665	0.01751	0.36458	3.77791	0.00868	0.18136	1.91624	0.00448	0.09386	1.00739	
0.097	-0.06600	-1.35746	-13.78393	0.03335	0.68337	6.78348	0.01788	0.36835	3.77686	0.00887	0.18328	1.91766	0.00458	0.09487	1.00895	
0.098	-0.06737	-1.37123	-13.77300	0.03404	0.69015	6.76990	0.01825	0.37213	3.77578	0.00905	0.18520	1.91912	0.00467	0.09588	1.01056	
0.099	-0.06874	-1.38500	-13.76173	0.03473	0.69691	6.75591	0.01863	0.37591	3.77467	0.00924	0.18712	1.92062	0.00477	0.09689	1.01222	
0.100	-0.07014	-1.39876	-13.75013	0.03543	0.70366	6.74150	0.01900	0.37968	3.77352	0.00943	0.18904	1.92217	0.00487	0.09790	1.01392	
